date,city,precipitation,sunshine,templature
1929-07-01,Tokyo,58.4,226.8,25.9
1929-08-01,Tokyo,63.6,240.2,27.1
1929-09-01,Tokyo,544.1,109.1,20.5
1929-10-01,Tokyo,323.1,110.5,16.5
1929-11-01,Tokyo,203.7,103.1,11
1929-12-01,Tokyo,155.7,117.3,8.6
1930-01-01,Tokyo,41.4,174.2,3.8
1930-02-01,Tokyo,108.3,150.8,5.4
1930-03-01,Tokyo,162.1,143.1,8.8
1930-04-01,Tokyo,149,166.1,14
1930-05-01,Tokyo,105.2,186.7,17.7
1930-06-01,Tokyo,123.2,147.5,21.4
1930-07-01,Tokyo,139.3,162.6,26.3
1930-08-01,Tokyo,51.5,211,26.8
1930-09-01,Tokyo,191.9,193.6,21.5
1930-10-01,Tokyo,255.6,144,16.7
1930-11-01,Tokyo,77.7,170.1,10.3
1930-12-01,Tokyo,71,150.4,5.2
1931-01-01,Tokyo,73,149.5,2.9
1931-02-01,Tokyo,85.3,88.9,2.5
1931-03-01,Tokyo,83,212.5,7.9
1931-04-01,Tokyo,69.7,179.9,12.4
1931-05-01,Tokyo,244.2,244.5,16.3
1931-06-01,Tokyo,114.9,181.7,20.4
1931-07-01,Tokyo,193.6,106.5,21.8
1931-08-01,Tokyo,49,267.2,26.4
1931-09-01,Tokyo,228,118.3,22.5
1931-10-01,Tokyo,249.1,137.3,16.3
1931-11-01,Tokyo,107.6,132.8,11.5
1931-12-01,Tokyo,67.1,135.8,6.9
1932-01-01,Tokyo,38.7,192.8,5.9
1932-02-01,Tokyo,61.2,187.9,4.3
1932-03-01,Tokyo,108,212.8,6.9
1932-04-01,Tokyo,156.5,189.3,12.3
1932-05-01,Tokyo,63.8,233.1,18
1932-06-01,Tokyo,187.4,111.2,19.8
1932-07-01,Tokyo,115.5,187.1,25.7
1932-08-01,Tokyo,86.8,205.3,26.7
1932-09-01,Tokyo,363.1,110.5,21.8
1932-10-01,Tokyo,153.9,131.3,16.5
1932-11-01,Tokyo,267.7,123.6,10.9
1932-12-01,Tokyo,87.4,148.4,6
1933-01-01,Tokyo,58.4,141.9,3.2
1933-02-01,Tokyo,18.7,172.6,3.6
1933-03-01,Tokyo,133.9,127.6,5.8
1933-04-01,Tokyo,135.4,104.3,12.3
1933-05-01,Tokyo,60.3,219.6,18.1
1933-06-01,Tokyo,34.1,185.6,21.9
1933-07-01,Tokyo,44.2,215.1,26.6
1933-08-01,Tokyo,43.2,218.4,27.5
1933-09-01,Tokyo,42.7,206.7,23.1
1933-10-01,Tokyo,301.9,147.9,16.8
1933-11-01,Tokyo,84.1,148,11.2
1933-12-01,Tokyo,54.4,193.3,6.2
1934-01-01,Tokyo,18.4,213.1,2.5
1934-02-01,Tokyo,28.3,199.2,4
1934-03-01,Tokyo,68.3,202.8,6.1
1934-04-01,Tokyo,150,166,11.5
1934-05-01,Tokyo,83.9,226.8,17.8
1934-06-01,Tokyo,133.5,186.7,22
1934-07-01,Tokyo,111.1,105,23.9
1934-08-01,Tokyo,23.4,184.3,26.1
1934-09-01,Tokyo,200.6,74.4,21.6
1934-10-01,Tokyo,196.1,112.2,14.6
1934-11-01,Tokyo,141.5,156.1,10.8
1934-12-01,Tokyo,91.6,131.2,5.9
1935-01-01,Tokyo,58.6,193.7,3.7
